Class                           Interface   PyPlasma    PlasmaShop
plVertDelta                     Basic       No          No
plMorphSpan                     Basic       No          No
plSpaceBuilderNode              Complete    No          ----
plSpaceTreeNode                 Complete    Complete    No
plSpan                          Complete    Complete    No
plSpanEncoding                  Complete    Complete    No
plSpanInstance                  Complete    Complete    No
plSpanTemplate                  Complete    Complete    No
plVertexSpan                    Complete    Complete    No
pfGUICtrlProcObject             Complete    Complete    No
pfGUIDialogProc                 Complete    Complete    No
pfGUICtrlProcWriteableObject    Complete    Complete    Case
pfGUICloseDlgProc               Complete    Complete    Case
pfGUIConsoleCmdProc             Complete    Complete    Case
pfGUIPythonScriptProc           Complete    Complete    Case
pfGUIColorScheme                Complete    No          Widget
pfGUIListElement                Complete    No          No
plKey                           Complete    Complete    PrpShop
plLoadMask                      Complete    ----        Case
plLocation                      Complete    Complete    PrpShop
plReceiver                      Complete    ----        ----
plUoid                          Complete    ----        ----
plCameraConfig                  Basic       No          No
plOneShotCallbacks              Basic       No          No
proEventData                    Complete    Complete    No
proCollisionEventData           Complete    Complete    No
proPickedEventData              Complete    Complete    No
proControlKeyEventData          Complete    Complete    No
proVariableEventData            Complete    Complete    No
proFacingEventData              Complete    Complete    No
proContainedEventData           Complete    Complete    No
proActivateEventData            Complete    Complete    No
proCallbackEventData            Complete    Complete    No
proResponderStateEventData      Complete    Complete    No
proMultiStageEventData          Complete    Complete    No
proSpawnedEventData             Complete    Complete    No
proClickDragEventData           Complete    Complete    No
proCoopEventData                Complete    Complete    No
proOfferLinkBookEventData       Complete    Complete    No
proBookEventData                Complete    Complete    No
proClimbingBlockerHitEventData  Complete    Complete    No
plSpawnPointInfo                Basic       No          No
plPythonParameter               Complete    Complete    PrpShop
plRandomSoundModGroup           Basic       No          No
hsBounds                        Complete    Complete    No
hsBounds3                       Complete    Partial*    No
hsBounds3Ext                    Complete    Complete    No
hsBoundsOriented                Complete    Complete    No
hsGMatState                     Complete    Complete    Case
plFixedWaterState6              Complete    No          No
plFixedWaterState7              Complete    No          No
plGrassWave                     Basic       No          No
plShaderConst                   Complete    Complete    No
plClientGuid                    Basic       No          No
plNetGroupId                    Basic       No          No
plGenericType                   Basic       No          No
plGenericVar                    Basic       No          No
plNetSharedState                Basic       No          No

plCreatable                     Complete    Complete**  ----
plCreatableStub                 Complete    Complete    ----
plSceneNode                     Complete    Complete    PrpShop***
pfObjectFlocker                 Complete    No          No
plAnimPath                      Complete    No          No
plAnimTimeConvert               Complete    Complete    PrpShop
plATCEaseCurve                  Complete    Complete    PrpShop
plSplineEaseCurve               Complete    Complete    PrpShop
plConstAccelEaseCurve           Complete    Complete    PrpShop
plBlower                        Complete    No          No
plController                    Complete    Complete    No
plCompoundController            Complete    Complete    No
plFilterCoordInterface          Basic       No          No
plEaseController                Complete    Complete    No
plMatrix33Controller            Complete    Complete    No
plMatrix44Controller            Complete    Complete    No
plPoint3Controller              Complete    Complete    No
plQuatController                Complete    Complete    No
plScalarController              Complete    Complete    No
plScaleValueController          Complete    Complete    No
plLeafController                Complete    Complete    No
plLineFollowMod                 Complete    No          No
plRailCameraMod                 Complete    No          No
plPosController                 Complete    Complete    No
plSimplePosController           Complete    Complete    No
plCompoundPosController         Complete    Complete    No
plRotController                 Complete    Complete    No
plSimpleRotController           Complete    Complete    No
plCompoundRotController         Complete    Complete    No
plScaleController               Complete    Complete    No
plSimpleScaleController         Complete    Complete    No
plStereizer                     Complete    No          No
plTMController                  Complete    Complete    No
plViewFaceModifier              Complete    Complete    No
plAudible                       Complete    Complete    PrpShop
plAudibleNull                   Complete    Complete    PrpShop
plWinAudible                    Complete    Complete    PrpShop
pl2WayWinAudible                Complete    Complete    PrpShop
plCrossfade                     Complete    No          No
plCrossfadeMsg                  Complete    No          No
plDirectMusicSound              Basic       No          No
plEAXListenerMod                Basic       No          No
plSound                         Complete    No          PrpShop
plSoundBuffer                   Complete    Complete    PrpShop
plWin32Sound                    Complete    No          PrpShop
plWin32StreamingSound           Complete    No          PrpShop
plWin32StaticSound              Complete    No          PrpShop
plWin32GroupedSound             Complete    No          No
plWin32LinkSound                Complete    No          PrpShop
plAGAnim                        Complete    Complete    No
plAgeGlobalAnim                 Complete    Complete    No
plAGApplicator                  Complete    Complete    No
plSoundVolumeApplicator         Complete    Complete    No
plLightAmbientApplicator        Complete    Complete    No
plLightDiffuseApplicator        Complete    Complete    No
plLightSpecularApplicator       Complete    Complete    No
plOmniApplicator                Complete    Complete    No
plOmniCutoffApplicator          Complete    Complete    No
plOmniSqApplicator              Complete    Complete    No
plSpotInnerApplicator           Complete    Complete    No
plSpotOuterApplicator           Complete    Complete    No
plAGChannel                     Complete    Complete    No
plAGMasterMod                   Basic       No          No
plAGModifier                    Basic       No          No
plAnimStage                     Complete    Complete    PrpShop
plArmatureBrain                 Complete    No          No
plAvBrainHuman                  Complete    No          No
plAvBrainClimb                  Complete    No          No
plAvBrainCritter                Complete    No          No
plAvBrainDrive                  Complete    No          No
plAvBrainPirahna                Complete    No          No
plAvBrainQuab                   Complete    No          No
plAvBrainRideAnimatedPhysical   Complete    No          No
plAvBrainSwim                   Complete    No          No
plArmatureEffect                Complete    No          No
plArmatureEffectFootSound       Basic       No          No
plArmatureEffectsMgr            Basic       No          No
plArmatureModBase               Basic       No          No
plArmatureMod                   Basic       No          No
plArmatureLODMod                Complete    No          No
plATCAnim                       Complete    Complete    No
plEmoteAnim                     Complete    Complete    No
plAGAnimBink                    Complete    Complete    No
plClothingOutfit                Basic       No          No
plClothingBase                  Basic       No          No
plClothingItem                  Complete    No          No
plElevatorModifier              Complete    No          No
plAvLadderMod                   Basic       No          No
plLadderModifier                Basic       No          No
plMatrixChannel                 Complete    Complete    No
plMatrixBlend                   Complete    Complete    No
plMatrixConstant                Complete    Complete    No
plMatrixControllerCacheChannel  Complete    Complete    No
plMatrixControllerChannel       Complete    Complete    No
plMatrixTimeScale               Complete    Complete    No
plQuatPointCombine              Complete    Complete    No
plMatrixChannelApplicator       Complete    Complete    No
plMatrixDelayedCorrectionAppli… Complete    Complete    No
plMatrixDifferenceApp           Complete    Complete    No
plRelativeMatrixChannelApplica… Complete    Complete    No
plMultistageBehMod              Complete    Complete    PrpShop
plNPCSpawnMod                   Basic       No          No
plPointChannel                  Complete    Complete    No
plPointBlend                    Complete    Complete    No
plPointConstant                 Complete    Complete    No
plPointControllerCacheChannel   Complete    Complete    No
plPointControllerChannel        Complete    Complete    No
plPointTimeScale                Complete    Complete    No
plPointChannelApplicator        Complete    Complete    No
plQuatChannel                   Complete    Complete    No
plQuatBlend                     Complete    Complete    No
plQuatConstant                  Complete    Complete    No
plQuatTimeScale                 Complete    Complete    No
plQuatChannelApplicator         Complete    Complete    No
plScalarChannel                 Complete    Complete    No
plScalarBlend                   Complete    Complete    No
plScalarConstant                Complete    Complete    No
plScalarControllerCacheChannel  Complete    Complete    No
plScalarControllerChannel       Complete    Complete    No
plScalarTimeScale               Complete    Complete    No
plScalarSDLChannel              Complete    Complete    No
plATCChannel                    Complete    Complete    No
plScalarChannelApplicator       Complete    Complete    No
plSeekPointMod                  Basic       No          No
plSittingModifier               Basic       No          No
plCameraBrain                   Complete    No          No
plCameraBrain_M5                Complete    No          No
plCameraBrain_Novice            Complete    No          No
plCameraBrain_NovicePlus        Complete    No          No
plCameraBrain_Expert            Complete    No          No
plCameraBrain_Flight            Complete    No          No
plCameraBrain_Ground            Complete    No          No
plCameraBrain1                  Basic       No          No
plCameraBrain1_Drive            Complete    No          No
plCameraBrain1_Avatar           Basic       No          No
plCameraBrain1_FirstPerson      Complete    No          No
plCameraBrain1_Fixed            Basic       No          No
plCameraBrain1_Circle           Basic       No          No
plCameraModifier                Basic       No          No
plActivatorConditionalObject    Basic       No          No
plActivatorActivatorConditiona… Complete    No          No
plVolActivatorConditionalObject Complete    No          No
plAnimationEventConditionalObj… Basic       No          No
plANDConditionalObject          Basic       No          No
plORConditionalObject           Basic       No          No
plConditionalObject             Basic       No          No
plPickedConditionalObject       Complete    No          No
plPythonFileModConditionalObje… Complete    No          No
plControlEventConditionalObject Basic       No          No
plLocalPlayerInBoxConditionalO… Complete    No          No
plLocalPlayerIntersectPlaneCon… Complete    No          No
plObjectInBoxConditionalObject  Complete    No          No
plObjectIntersectPlaneConditio… Complete    No          No
plFacingConditionalObject       Basic       No          No
plKeyPressConditionalObject     Basic       No          No
plVolumeSensorConditionalObject Basic       No          No
plVolumeSensorConditionalObjec… Complete    No          No
plCluster                       Complete    Complete    No
plClusterGroup                  Complete    Complete    No
plDrawable                      Complete    Complete    No
plDrawableSpans                 Complete    Complete    No
plMorphDelta                    Basic       No          No
plOccluder                      Complete    Complete    No
plMobileOccluder                Complete    Complete    No
plSharedMesh                    Basic       No          No
plSpaceTree                     Complete    Complete    No
pfGUIButtonMod                  Complete    No          PrpShop
pfGUIMenuItem                   Complete    No          PrpShop
pfGUICheckBoxCtrl               Complete    No          PrpShop
pfGUIClickMapCtrl               Complete    No          PrpShop
pfGUIControlMod                 Complete    No          PrpShop
pfGUIDialogMod                  Complete    No          PrpShop
pfGUIDragBarCtrl                Complete    No          PrpShop
pfGUIDraggableMod               Complete    No          PrpShop
pfGUIDynDisplayCtrl             Complete    No          PrpShop
pfGUIEditBoxMod                 Complete    No          PrpShop
pfGUIKnobCtrl                   Complete    No          PrpShop
pfGUIListBoxMod                 Complete    No          PrpShop
pfGUIMultiLineEditCtrl          Complete    No          PrpShop
pfGUIPopUpMenu                  Complete    No          PrpShop
pfGUIProgressCtrl               Complete    No          PrpShop
pfGUIRadioGroupCtrl             Complete    No          PrpShop
pfGUISkin                       Complete    No          PrpShop
pfGUITextBoxMod                 Complete    No          PrpShop
pfGUIUpDownPairMod              Complete    No          PrpShop
pfGUIValueCtrl                  Complete    No          Case
plImageLibMod                   Complete    No          PrpShop
hsKeyedObject                   Complete    Complete    PrpShop
hsKeyedObjectStub               Complete    No          ----
plDirectionalLightInfo          Complete    Complete    No
plLimitedDirLightInfo           Complete    Complete    No
plLightInfo                     Complete    Complete    No
plOmniLightInfo                 Complete    Complete    No
plSpotLightInfo                 Complete    Complete    No
plShadowCaster                  Basic       No          No
plShadowMaster                  Complete    Complete    PrpShop
plPointShadowMaster             Complete    Complete    PrpShop
plDirectShadowMaster            Complete    Complete    PrpShop
plAnimCmdMsg                    Basic       No          No
plArmatureEffectStateMsg        Basic       No          No
plAvatarInputStateMsg           Basic       No          No
plAvatarMsg                     Basic       No          No
plAvBrainGenericMsg             Basic       No          No
plCameraMsg                     Basic       No          No
plClimbMsg                      Basic       No          No
plEnableMsg                     Basic       No          No
plEventCallbackMsg              Complete    Complete    No
plExcludeRegionMsg              Basic       No          No
plInputIfaceMgrMsg              Basic       No          No
plLinkToAgeMsg                  Basic       No          No
plLinkEffectsTriggerMsg         Basic       No          No
plLinkInDoneMsg                 Complete    No          No
plLoadCloneMsg                  Basic       No          No
plMessage                       Complete    Complete    No
plMessageWithCallbacks          Complete    No          No
plMsgForwarder                  Complete    Complete    PrpShop
plNotifyMsg                     Complete    Complete    No
plResponderMsg                  Basic       No          No
plPseudoLinkEffectMsg           Basic       No          No
plOneShotMsg                    Basic       No          No
plServerReplyMsg                Basic       No          No
plSimStateMsg                   Complete    No          No
plSimSuppressMsg                Basic       No          No
plSimulationMsg                 Complete    No          No
plSoundMsg                      Basic       No          No
plSwimMsg                       Basic       No          No
plTimerCallbackMsg              Basic       No          No
plTransitionMsg                 Basic       No          No
plAgeInfoStruct                 Basic       No          No
plAgeLinkStruct                 Basic       No          No
plAgeLinkEffects                Basic       No          No
plFogEnvironment                Basic       No          No
plAliasModifier                 Basic       No          No
plAnimEventModifier             Basic       No          No
plAxisAnimModifier              Complete    No          No
plExcludeRegionModifier         Basic       No          No
plInterfaceInfoModifier         Complete    Complete    PrpShop
plLogicModBase                  Complete    Complete    No
plLogicModifier                 Complete    Complete    No
plMaintainersMarkerModifier     Basic       No          No
plModifier                      Complete    Complete    ----
plSingleModifier                Complete    Complete    Case
plMultiModifier                 Complete    Complete    Case
plNodeRegionModifier            Basic       No          No
plOneShotMod                    Complete    Complete    No
plPostEffectMod                 Basic       No          No
plPythonFileMod                 Complete    Complete    PrpShop
plPythonMod                     Basic       No          No
plRandomCommandMod              Basic       No          No
plRandomSoundMod                Basic       No          No
plResponderModifier             Complete    Complete    No
plResponderEnableMsg            Complete    Complete    No
plSpawnModifier                 Complete    No          No
plSpawnMod                      Basic       No          No
plNetMessage                    Basic       No          No
plNetMsgServerToClient          Complete    No          No
plNetMsgGameMessage             Basic       No          No
plNetMsgGameMessageDirected     Basic       No          No
plNetMsgGroupOwner              Basic       No          No
plNetMsgInitialAgeStateSent     Basic       No          No
plNetMsgLoadClone               Basic       No          No
plNetMsgMemberInfoHelper        Basic       No          No
plNetMsgMemberListHelper        Basic       No          No
plNetMsgMembersList             Basic       No          No
plNetMsgMembersListReq          Complete    No          No
plNetMsgObjectHelper            Basic       No          No
plNetMsgObject                  Basic       No          No
plNetMsgPlayerPage              Basic       No          No
plNetMsgRelevanceRegions        Basic       No          No
plNetMsgRoomsList               Basic       No          No
plNetMsgPagingRoom              Basic       No          No
plNetMsgGameStateRequest        Complete    No          No
plNetMsgSDLState                Basic       No          No
plNetMsgSDLStateBCast           Complete    No          No
plNetMsgSharedState             Basic       No          No
plNetMsgTestAndSet              Complete    No          No
plNetMsgStreamHelper            Complete    No          No
plNetMsgStream                  Complete    No          No
plNetMsgStreamedObject          Complete    No          No
plAudioInterface                Complete    Complete    PrpShop
plCoordinateInterface           Complete    Complete    PrpShop***
plDrawInterface                 Complete    Complete    PrpShop
plInstanceDrawInterface         Basic       No          No
plObjInterface                  Complete    Complete    Case
plSceneObject                   Complete    Complete    PrpShop***
plSimulationInterface           Complete    Complete    PrpShop***
plSynchedObject                 Complete    Complete    PrpShop
plBoundInterface                Complete    No          No
plParticleApplicator            Complete    No          No
plParticleAngleApplicator       Complete    No          No
plParticleLifeMinApplicator     Complete    No          No
plParticleLifeMaxApplicator     Complete    No          No
plParticlePPSApplicator         Complete    No          No
plParticleScaleMinApplicator    Complete    No          No
plParticleScaleMaxApplicator    Complete    No          No
plParticleVelMinApplicator      Complete    No          No
plParticleVelMaxApplicator      Complete    No          No
plParticleEffect                Complete    No          No
plParticleCollisionEffect       Basic       No          No
plParticleCollisionEffectBeat   Complete    No          No
plParticleCollisionEffectBounce Basic       No          No
plParticleCollisionEffectDie    Complete    No          No
plParticleFadeOutEffect         Basic       No          No
plParticleFadeVolumeEffect      Basic       No          No
plParticleFlockEffect           Basic       No          No
plParticleFollowSystemEffect    Complete    No          No
plParticleWindEffect            Basic       No          No
plParticleLocalWind             Basic       No          No
plParticleUniformWind           Basic       No          No
plParticleEmitter               Basic       No          No
plParticleGenerator             Complete    No          No
plOneTimeParticleGenerator      Basic       No          No
plSimpleParticleGenerator       Basic       No          No
plParticleSystem                Complete    No          No
plCollisionDetector             Complete    No          PrpShop
plSubworldRegionDetector        Complete    No          PrpShop
plPanicLinkRegion               Complete    No          PrpShop
plDetectorModifier              Complete    No          PrpShop
plPickingDetector               Complete    No          PrpShop
plGenericPhysical               Complete    Complete    No
plObjectInVolumeDetector        Basic       No          No
plCameraRegionDetector          Basic       No          No
plObjectInVolumeAndFacingDetec… Basic       No          No
plPhysical                      Complete    Complete    ----
plPhysicalSndGroup              Basic       No          No
plVehicleModifier               Basic       No          No
plConvexVolume                  Basic       No          No
plHardRegion                    Complete    No          No
plHardRegionComplex             Basic       No          No
plHardRegionIntersect           Complete    No          No
plHardRegionInvert              Complete    No          No
plHardRegionUnion               Complete    No          No
plHardRegionPlanes              Basic       No          No
plRegionBase                    Complete    No          ----
plRelevanceRegion               Basic       No          No
plSimpleRegionSensor            Basic+      No          No
plSwimDetector                  Complete    No          No
plAutoWalkRegion                Basic       No          No
plRidingAnimatedPhysicalDetect… Complete    No          No
plSoftVolume                    Basic       No          No
plSoftVolumeSimple              Basic       No          No
plSoftVolumeComplex             Basic       No          No
plSoftVolumeIntersect           Complete    No          No
plSoftVolumeInvert              Complete    No          No
plSoftVolumeUnion               Complete    No          No
plSwimRegionInterface           Basic       No          No
plSwimCircularCurrentRegion     Basic       No          No
plSwimStraightCurrentRegion     Basic       No          No
plVisRegion                     Basic       No          No
plVolumeIsect                   Complete    No          ----
plBoundsIsect                   Basic       No          No
plConeIsect                     Basic       No          No
plConvexIsect                   Basic       No          No
plCylinderIsect                 Basic       No          No
plParallelIsect                 Basic       No          No
plSphereIsect                   Basic       No          No
plComplexIsect                  Basic       No          No
plIntersectionIsect             Complete    No          No
plUnionIsect                    Complete    No          No
hsGMaterial                     Complete    Complete    PrpShop
plBitmap                        Complete    Complete    Case
plCubicEnvironmap               Complete    Complete    PrpShop***
plDistOpacityMod                Basic       No          No
plDynaDecalMgr                  Basic       No          No
plDynaBulletMgr                 Complete    No          No
plDynaFootMgr                   Complete    No          No
plDynamicEnvMap                 Basic       No          No
plDynamicCamMap                 Basic       No          No
plDynamicTextMap                Complete    Complete    PrpShop
plDynaRippleMgr                 Basic       No          No
plDynaRippleVSMgr               Basic       No          No
plDynaTorpedoMgr                Complete    No          No
plDynaTorpedoVSMgr              Basic       No          No
plDynaPuddleMgr                 Complete    No          No
plDynaWakeMgr                   Basic       No          No
plFadeOpacityMod                Complete    No          PrpShop
plFont                          Complete    No          No
plGrassShaderMod                Basic       No          No
plLayer                         Complete    Complete    PrpShop
plLayerDepth                    Complete    Complete    PrpShop
plLayerAnimationBase            Complete    Complete    Case
plLayerAnimation                Complete    Complete    PrpShop
plLayerLinkAnimation            Complete    Complete    PrpShop
plLayerSDLAnimation             Complete    Complete    PrpShop
plLayerInterface                Complete    Complete    Case
plLayerMovie                    Complete    Complete    PrpShop
plLayerAVI                      Complete    Complete    PrpShop
plLayerBink                     Complete    Complete    PrpShop
plMipmap                        Complete    Complete    PrpShop
plPrintShape                    Basic       No          No
plActivePrintShape              Basic       No          No
plRenderTarget                  Basic       No          No
plCubicRenderTarget             Basic       No          No
plShader                        Complete    Complete    No
plWaveSet6                      NotImpl     No          No
plWaveSet7                      Basic       No          No
plWaveSetBase                   Complete    No          ----

*   No operator code
**  No PRC support.  I probably won't add this, but it's worth noting
*** No Preview support yet
